item_id,user_gender,img_ref,page_ref,temp_min,temp_max
170,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/182895M202010_1.jpg",https://www.ssense.com/en-us/men/product/aime-leon-dore/navy-reverse-fleece-hoodie/3069558,15,19
171,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/182895M178006_1.jpg",https://www.ssense.com/en-us/men/product/aime-leon-dore/black-down-hooded-jacket/3069828,-30,5
172,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/182797M179015_1.jpg",https://www.ssense.com/en-us/men/product/mr-and-mrs-italy/beige-and-green-canvas-small-hooded-fur-parka/3112038,-30,5
173,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191108M204002_1.jpg",https://www.ssense.com/en-us/men/product/affix/grey-embroidery-logo-sweatshirt/3618409,21,24
174,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191108M202002_1.jpg",https://www.ssense.com/en-us/men/product/affix/black-pdu-pullover-sweatshirt/3562429,18,21
175,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191108M204001_1.jpg",https://www.ssense.com/en-us/men/product/affix/white-embroidery-logo-sweatshirt/3562299,21,24
176,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191108M213003_1.jpg",https://www.ssense.com/en-us/men/product/affix/black-and-yellow-ebs-purge-t-shirt/3562269,24,50
177,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191252M192009_1.jpg",https://www.ssense.com/en-us/men/product/apc/navy-midway-short-sleeve-shirt/3745489,24,50
178,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191252M192008_1.jpg",https://www.ssense.com/en-us/men/product/apc/blue-midway-short-sleeve-shirt/3745479,24,50
179,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/191252M180009_1.jpg",https://www.ssense.com/en-us/men/product/apc/khaki-oahu-jacket/3759049,10,15
180,M,"https://img.ssensemedia.com/image/upload/b_white/c_scale,h_820/f_auto,dpr_2.0/192154M202002_1.jpg",https://www.ssense.com/en-us/men/product/helmut-lang/white-masc-hoodie/3818661,15,19
181,F,https://images-na.ssl-images-amazon.com/images/G/01/Shopbop/p/prod/products/twang/twang2002512397/twang2002512397_q1_1-0.jpg,https://www.shopbop.com,24,50
200,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wayfa/wayfa2031511f02/wayfa2031511f02_q6_2-0.jpg,https://www.shopbop.com/altona-bustier-top-wayf/vp/v=1/1598468752.htm?fm=pd_sb_pd_browse_1_bstslr&os=false,20,22
201,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/draaa/draaa3021513b85/draaa3021513b85_q6_2-0.jpg,https://www.shopbop.com/gisela-dress-dra/vp/v=1/1578674940.htm?folderID=59577&fm=other-shopbysize-viewall&os=false&colorId=13B85,28,35
202,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/carok/carok3011612397/carok3011612397_q6_2-0.jpg,https://www.shopbop.com/nika-dress-carolina-k/vp/v=1/1513796402.htm?folderID=59577&fm=other-shopbysize-viewall&os=false&colorId=12397,28,35
203,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/camla/camla3057513ce5/camla3057513ce5_q6_2-0.jpg,https://www.shopbop.com/long-sleeve-cardigan-jacket-camilla/vp/v=1/1512611769.htm?folderID=13414&fm=other-shopbysize&os=false&colorId=13CE5,20,22
204,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/hunts/hunts2053612d18/hunts2053612d18_q6_2-0.jpg,https://www.shopbop.com/shell-jacket-hunter-boots/vp/v=1/1576211509.htm?folderID=13414&fm=other-shopbysize&os=false&colorId=12D18,12,16
216,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/tupsi/tupsi3009610719/tupsi3009610719_q6_2-0.jpg,https://www.shopbop.com/ella-parka-upside/vp/v=1/1583926056.htm?folderID=13414&fm=other-shopbysize-viewall&os=false&colorId=10719,9,12
217,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/marqu/marqu302101040f/marqu302101040f_q6_2-0._UX357_QL90_.jpg,https://www.shopbop.com/oversized-cardigan-feather-pulls-marques/vp/v=1/1521549173.htm?folderID=13317&fm=other-shopbysize-viewall&os=false&colorId=1040F,12,16
218,F,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/tmigh/tmigh3002163557/tmigh3002163557_q6_2-0.jpg,https://www.shopbop.com/hastings-jacket-mighty-company/vp/v=1/1599600245.htm?folderID=13414&fm=other-shopbysize-viewall&os=false&colorId=63557,12,16
